bx,by,bz
42.879,0.707,1.285
42.596,1.169,1.661
42.645,1.15,1.581
42.679,1.105,1.527
42.697,1.055,1.505
42.704,1.002,1.479
42.702,0.975,1.469
42.702,0.915,1.445
42.678,0.861,1.419
42.642,0.788,1.369
42.583,0.72,1.237
42.528,0.652,0.97
42.732,1.171,1.737
42.716,1.16,1.628
42.712,1.133,1.558
42.715,1.095,1.52
42.722,1.057,1.473
42.726,1.027,1.45
42.722,0.978,1.415
42.721,0.951,1.372
42.728,0.906,1.314
42.748,0.891,1.196
42.828,0.898,1.033
42.84,1.125,1.672
42.789,1.133,1.607
42.765,1.125,1.548
42.753,1.098,1.509
42.749,1.068,1.466
42.749,1.057,1.439
42.756,1.023,1.396
42.767,1,1.357
42.791,0.973,1.318
42.833,0.969,1.256
42.942,0.988,1.205
42.883,1.126,1.567
42.825,1.129,1.539
42.797,1.125,1.504
42.785,1.103,1.477
42.781,1.075,1.434
42.777,1.072,1.414
42.788,1.045,1.38
42.801,1.03,1.351
42.824,1,1.332
42.866,0.992,1.301
42.936,0.981,1.313
42.905,1.137,1.478
42.858,1.137,1.463
42.831,1.125,1.431
42.815,1.114,1.416
42.807,1.091,1.381
42.807,1.087,1.365
42.81,1.072,1.342
42.822,1.052,1.318
42.846,1.026,1.306
42.868,1.003,1.284
42.907,0.965,1.292
42.923,1.133,1.405
42.88,1.136,1.386
42.845,1.144,1.366
42.829,1.125,1.35
42.818,1.114,1.323
42.822,1.102,1.323
42.829,1.087,1.308
42.841,1.072,1.284
42.86,1.053,1.277
42.89,1.026,1.25
42.93,0.992,1.225
42.953,1.136,1.324
42.887,1.155,1.308
42.855,1.159,1.301
42.836,1.144,1.3
42.828,1.129,1.285
42.828,1.121,1.293
42.836,1.11,1.281
42.847,1.098,1.273
42.875,1.083,1.273
42.913,1.072,1.25
42.984,1.064,1.214
42.972,1.163,1.16
42.89,1.197,1.176
42.851,1.204,1.195
42.831,1.189,1.211
42.823,1.17,1.212
42.823,1.155,1.227
42.831,1.14,1.227
42.846,1.128,1.236
42.874,1.117,1.251
42.916,1.117,1.259
43.021,1.144,1.275
42.916,1.257,0.969
42.846,1.295,1.059
42.818,1.291,1.119
42.807,1.253,1.153
42.806,1.231,1.162
42.811,1.204,1.185
42.815,1.174,1.189
42.826,1.151,1.212
42.838,1.136,1.247
42.869,1.128,1.295
42.951,1.159,1.413
42.748,1.459,0.887
42.756,1.436,1.036
42.771,1.398,1.111
42.783,1.337,1.146
42.79,1.291,1.147
42.799,1.261,1.162
42.803,1.215,1.162
42.802,1.174,1.17
42.787,1.128,1.213
42.764,1.087,1.275
42.744,1.056,1.472
42.511,1.717,1.044
42.655,1.595,1.158
42.732,1.512,1.186
42.775,1.421,1.178
42.79,1.36,1.147
42.802,1.314,1.135
42.81,1.257,1.107
42.799,1.197,1.087
42.76,1.121,1.079
42.671,1.018,1.091
42.499,0.877,1.233
42.643,1.682,1.5
42.689,1.633,1.449
42.717,1.587,1.425
42.725,1.542,1.417
42.724,1.5,1.394
42.728,1.466,1.394
42.732,1.425,1.378
42.72,1.375,1.367
42.697,1.314,1.35
42.647,1.25,1.272
42.58,1.181,1.115
42.747,1.603,1.579
42.74,1.584,1.5
42.74,1.569,1.453
42.744,1.534,1.429
42.744,1.493,1.398
42.743,1.462,1.387
42.747,1.417,1.359
42.747,1.387,1.328
42.744,1.348,1.292
42.751,1.321,1.202
42.794,1.306,1.084
42.829,1.538,1.552
42.79,1.542,1.493
42.774,1.531,1.454
42.762,1.508,1.426
42.759,1.489,1.386
42.759,1.459,1.371
42.766,1.424,1.336
42.778,1.398,1.309
42.794,1.371,1.277
42.825,1.36,1.218
42.898,1.364,1.163
42.875,1.504,1.489
42.832,1.512,1.458
42.809,1.512,1.426
42.793,1.489,1.403
42.789,1.47,1.364
42.789,1.455,1.352
42.793,1.424,1.324
42.805,1.402,1.296
42.829,1.387,1.281
42.863,1.371,1.242
42.929,1.364,1.234
42.898,1.485,1.415
42.863,1.496,1.403
42.836,1.5,1.379
42.813,1.477,1.36
42.805,1.462,1.332
42.805,1.451,1.32
42.816,1.432,1.298
42.828,1.409,1.278
42.855,1.394,1.27
42.882,1.375,1.243
42.925,1.36,1.242
42.917,1.47,1.344
42.879,1.489,1.336
42.848,1.489,1.321
42.828,1.477,1.314
42.82,1.466,1.289
42.824,1.447,1.286
42.828,1.424,1.266
42.844,1.413,1.258
42.859,1.394,1.25
42.894,1.379,1.227
42.941,1.364,1.214
42.933,1.462,1.289
42.883,1.481,1.281
42.855,1.485,1.281
42.835,1.47,1.282
42.832,1.458,1.266
42.832,1.443,1.27
42.836,1.424,1.262
42.852,1.409,1.254
42.875,1.398,1.262
42.91,1.387,1.238
42.968,1.383,1.231
42.933,1.474,1.163
42.878,1.496,1.184
42.848,1.5,1.206
42.832,1.481,1.219
42.828,1.466,1.211
42.828,1.451,1.219
42.836,1.428,1.215
42.848,1.413,1.222
42.863,1.402,1.238
42.898,1.398,1.242
42.976,1.417,1.269
42.882,1.542,1.05
42.848,1.557,1.116
42.828,1.549,1.152
42.821,1.519,1.171
42.82,1.493,1.172
42.824,1.47,1.184
42.832,1.447,1.18
42.836,1.424,1.188
42.844,1.406,1.214
42.863,1.394,1.247
42.906,1.405,1.336
42.766,1.663,1.03
42.789,1.644,1.121
42.804,1.61,1.156
42.813,1.557,1.164
42.817,1.534,1.16
42.82,1.5,1.168
42.824,1.474,1.156
42.824,1.44,1.152
42.816,1.402,1.168
42.793,1.36,1.195
42.762,1.325,1.321
42.634,1.789,1.183
42.75,1.717,1.219
42.8,1.655,1.212
42.821,1.602,1.187
42.828,1.568,1.152
42.832,1.538,1.144
42.836,1.508,1.12
42.836,1.466,1.097
42.821,1.413,1.069
42.758,1.345,1.042
42.615,1.238,1.093
42.704,1.823,1.407
42.739,1.785,1.379
42.754,1.762,1.372
42.754,1.724,1.368
42.751,1.706,1.344
42.754,1.69,1.344
42.754,1.655,1.329
42.758,1.625,1.325
42.739,1.576,1.32
42.7,1.527,1.281
42.633,1.462,1.188
42.762,1.774,1.478
42.762,1.759,1.423
42.766,1.747,1.392
42.762,1.721,1.376
42.766,1.694,1.348
42.766,1.667,1.341
42.766,1.633,1.316
42.769,1.602,1.294
42.77,1.564,1.274
42.773,1.546,1.211
42.789,1.523,1.113
42.828,1.728,1.462
42.805,1.732,1.415
42.789,1.721,1.38
42.782,1.698,1.356
42.781,1.679,1.325
42.781,1.663,1.313
42.785,1.629,1.289
42.792,1.606,1.267
42.804,1.58,1.247
42.831,1.568,1.192
42.878,1.557,1.145
42.87,1.694,1.419
42.835,1.702,1.388
42.813,1.702,1.364
42.804,1.683,1.345
42.797,1.671,1.309
42.796,1.652,1.302
42.804,1.621,1.278
42.816,1.602,1.258
42.835,1.58,1.239
42.863,1.568,1.204
42.913,1.564,1.192
42.89,1.675,1.36
42.859,1.683,1.349
42.831,1.683,1.329
42.82,1.671,1.314
42.816,1.667,1.286
42.812,1.648,1.278
42.82,1.625,1.258
42.832,1.61,1.247
42.855,1.595,1.235
42.878,1.58,1.207
42.921,1.572,1.204
42.909,1.659,1.305
42.874,1.675,1.298
42.847,1.679,1.282
42.831,1.668,1.279
42.824,1.655,1.254
42.827,1.64,1.255
42.836,1.625,1.238
42.851,1.606,1.231
42.871,1.591,1.227
42.894,1.58,1.204
42.933,1.58,1.203
42.921,1.659,1.255
42.886,1.671,1.255
42.855,1.678,1.258
42.839,1.664,1.259
42.832,1.652,1.243
42.831,1.64,1.247
42.84,1.621,1.235
42.851,1.602,1.231
42.871,1.595,1.234
42.901,1.583,1.223
42.948,1.587,1.231
42.909,1.671,1.161
42.874,1.683,1.18
42.855,1.69,1.196
42.843,1.675,1.2
42.839,1.663,1.188
42.839,1.652,1.2
42.843,1.633,1.196
42.851,1.61,1.192
42.862,1.595,1.204
42.889,1.583,1.204
42.932,1.595,1.243
42.863,1.713,1.086
42.847,1.717,1.141
42.839,1.709,1.16
42.839,1.69,1.169
42.831,1.668,1.161
42.828,1.648,1.168
42.839,1.636,1.16
42.843,1.617,1.161
42.851,1.602,1.176
42.858,1.583,1.188
42.878,1.583,1.262
42.781,1.789,1.102
42.815,1.774,1.157
42.827,1.751,1.165
42.831,1.717,1.165
42.831,1.698,1.153
42.831,1.675,1.153
42.839,1.659,1.145
42.843,1.636,1.137
42.839,1.61,1.141
42.819,1.58,1.141
42.777,1.549,1.215
42.719,1.857,1.22
42.808,1.808,1.207
42.84,1.774,1.188
42.839,1.74,1.161
42.835,1.717,1.134
42.835,1.705,1.133
42.847,1.694,1.121
42.854,1.668,1.102
42.858,1.625,1.071
42.823,1.587,1.02
42.715,1.519,1.007
42.733,1.933,1.35
42.761,1.906,1.337
42.765,1.899,1.337
42.761,1.88,1.33
42.754,1.857,1.309
42.757,1.853,1.302
42.761,1.823,1.287
42.773,1.796,1.283
42.765,1.766,1.291
42.734,1.728,1.267
42.667,1.686,1.209
42.773,1.914,1.404
42.776,1.902,1.369
42.769,1.899,1.345
42.769,1.88,1.329
42.773,1.861,1.306
42.769,1.842,1.298
42.773,1.819,1.275
42.78,1.796,1.259
42.781,1.77,1.247
42.78,1.743,1.196
42.784,1.724,1.129
42.823,1.887,1.405
42.8,1.891,1.365
42.792,1.88,1.337
42.788,1.868,1.319
42.78,1.857,1.291
42.784,1.842,1.282
42.788,1.811,1.255
42.8,1.792,1.232
42.811,1.774,1.22
42.831,1.758,1.177
42.862,1.747,1.129
42.862,1.861,1.377
42.831,1.872,1.35
42.815,1.864,1.326
42.804,1.853,1.31
42.8,1.849,1.279
42.8,1.834,1.271
42.807,1.808,1.248
42.819,1.793,1.231
42.839,1.774,1.216
42.866,1.762,1.188
42.905,1.751,1.169
42.885,1.849,1.326
42.854,1.861,1.306
42.835,1.865,1.29
42.823,1.849,1.279
42.819,1.842,1.255
42.82,1.83,1.247
42.823,1.811,1.228
42.835,1.792,1.216
42.858,1.777,1.212
42.882,1.77,1.188
42.917,1.755,1.18
42.901,1.83,1.271
42.869,1.853,1.268
42.85,1.857,1.251
42.835,1.849,1.247
42.827,1.842,1.224
42.827,1.823,1.224
42.835,1.808,1.212
42.847,1.789,1.2
42.866,1.777,1.205
42.89,1.766,1.188
42.924,1.758,1.181
42.905,1.838,1.224
42.878,1.846,1.223
42.851,1.857,1.227
42.839,1.842,1.227
42.831,1.834,1.208
42.835,1.827,1.212
42.839,1.808,1.2
42.851,1.796,1.196
42.866,1.789,1.2
42.893,1.777,1.192
42.928,1.774,1.2
42.893,1.846,1.161
42.866,1.857,1.18
42.854,1.857,1.196
42.843,1.849,1.2
42.835,1.838,1.185
42.835,1.827,1.188
42.847,1.811,1.18
42.854,1.793,1.181
42.866,1.789,1.189
42.882,1.77,1.188
42.909,1.777,1.224
42.854,1.876,1.114
42.851,1.88,1.145
42.847,1.865,1.169
42.838,1.853,1.173
42.839,1.842,1.157
42.839,1.823,1.165
42.847,1.811,1.161
42.851,1.793,1.156
42.854,1.789,1.165
42.858,1.766,1.169
42.858,1.766,1.22
42.799,1.917,1.13
42.834,1.91,1.154
42.839,1.895,1.161
42.839,1.88,1.156
42.835,1.868,1.142
42.835,1.849,1.145
42.843,1.834,1.141
42.854,1.811,1.129
42.855,1.796,1.129
42.835,1.774,1.114
42.792,1.751,1.153
42.773,1.944,1.224
42.842,1.914,1.193
42.858,1.895,1.161
42.847,1.876,1.137
42.835,1.864,1.118
42.834,1.857,1.126
42.846,1.849,1.122
42.862,1.842,1.11
42.873,1.823,1.083
42.854,1.796,1.024
42.769,1.747,0.984
42.753,2.051,1.31
42.773,2.043,1.306
42.773,2.04,1.31
42.765,2.024,1.302
42.761,2.013,1.279
42.765,2.002,1.267
42.769,1.986,1.251
42.781,1.974,1.247
42.781,1.955,1.259
42.757,1.933,1.244
42.695,1.899,1.208
42.78,2.036,1.357
42.78,2.024,1.326
42.776,2.032,1.314
42.773,2.013,1.302
42.773,2.005,1.271
42.773,1.989,1.267
42.78,1.97,1.248
42.788,1.963,1.231
42.792,1.948,1.224
42.788,1.936,1.189
42.788,1.921,1.13
42.823,2.028,1.362
42.807,2.024,1.334
42.796,2.032,1.303
42.792,2.017,1.287
42.784,2.005,1.256
42.788,2.002,1.251
42.796,1.978,1.228
42.8,1.959,1.208
42.815,1.944,1.197
42.831,1.936,1.165
42.862,1.925,1.122
42.862,2.017,1.334
42.838,2.013,1.307
42.815,2.024,1.291
42.807,2.009,1.275
42.803,2.002,1.248
42.803,1.994,1.24
42.811,1.974,1.217
42.823,1.959,1.2
42.838,1.94,1.189
42.862,1.929,1.157
42.9,1.906,1.138
42.885,1.994,1.287
42.854,1.998,1.276
42.834,2.009,1.26
42.827,1.993,1.247
42.819,1.986,1.22
42.819,1.978,1.216
42.827,1.963,1.196
42.838,1.952,1.185
42.854,1.936,1.181
42.877,1.921,1.157
42.913,1.91,1.149
42.901,1.971,1.239
42.87,1.998,1.24
42.846,2.002,1.228
42.83,1.99,1.221
42.83,1.983,1.197
42.831,1.967,1.196
42.838,1.952,1.181
42.846,1.936,1.173
42.866,1.925,1.177
42.889,1.91,1.162
42.916,1.891,1.161
42.901,1.963,1.212
42.873,1.974,1.216
42.85,1.986,1.22
42.839,1.978,1.22
42.835,1.97,1.201
42.834,1.959,1.205
42.838,1.944,1.193
42.85,1.929,1.189
42.866,1.917,1.196
42.881,1.906,1.185
42.917,1.902,1.2
42.889,1.974,1.15
42.866,1.982,1.165
42.849,1.983,1.182
42.842,1.978,1.177
42.838,1.974,1.162
42.838,1.955,1.17
42.846,1.944,1.161
42.85,1.925,1.157
42.862,1.921,1.165
42.878,1.902,1.165
42.897,1.91,1.193
42.85,1.994,1.111
42.85,1.994,1.13
42.85,1.986,1.154
42.842,1.978,1.154
42.842,1.974,1.138
42.839,1.955,1.142
42.846,1.948,1.138
42.849,1.932,1.135
42.858,1.933,1.142
42.854,1.906,1.138
42.854,1.906,1.181
42.819,2.021,1.126
42.846,2.013,1.142
42.85,2.005,1.146
42.839,2.002,1.134
42.838,1.99,1.118
42.838,1.974,1.126
42.85,1.967,1.123
42.858,1.94,1.106
42.861,1.936,1.111
42.85,1.925,1.086
42.803,1.898,1.107
42.815,2.024,1.205
42.87,2.021,1.157
42.869,2.009,1.13
42.854,2.002,1.107
42.839,1.993,1.094
42.834,1.978,1.11
42.846,1.974,1.114
42.869,1.967,1.107
42.889,1.959,1.082
42.881,1.94,1.02
42.811,1.906,0.965
42.756,2.134,1.283
42.777,2.138,1.287
42.773,2.134,1.29
42.768,2.119,1.287
42.761,2.123,1.259
42.761,2.119,1.251
42.773,2.108,1.232
42.788,2.096,1.228
42.788,2.093,1.236
42.773,2.077,1.22
42.711,2.062,1.192
42.78,2.127,1.326
42.784,2.127,1.306
42.777,2.131,1.294
42.776,2.119,1.283
42.773,2.115,1.251
42.777,2.1,1.243
42.785,2.096,1.227
42.793,2.089,1.211
42.796,2.081,1.208
42.796,2.066,1.169
42.793,2.055,1.113
42.82,2.112,1.337
42.804,2.127,1.309
42.797,2.134,1.29
42.793,2.127,1.266
42.789,2.123,1.243
42.793,2.115,1.235
42.801,2.1,1.211
42.809,2.089,1.194
42.82,2.081,1.191
42.836,2.074,1.152
42.863,2.062,1.113
42.852,2.112,1.312
42.832,2.115,1.289
42.817,2.123,1.273
42.809,2.112,1.257
42.801,2.108,1.23
42.809,2.1,1.226
42.814,2.093,1.206
42.825,2.074,1.186
42.844,2.063,1.179
42.864,2.059,1.151
42.898,2.04,1.136
42.884,2.104,1.272
42.852,2.119,1.265
42.833,2.119,1.249
42.821,2.108,1.233
42.821,2.104,1.21
42.821,2.089,1.206
42.825,2.078,1.19
42.837,2.07,1.179
42.856,2.051,1.175
42.88,2.035,1.155
42.911,2.02,1.151
42.895,2.089,1.23
42.864,2.097,1.225
42.844,2.108,1.218
42.829,2.097,1.21
42.829,2.097,1.186
42.829,2.089,1.186
